model_name,dataset_name,num_train_samples,num_epochs,batch_size,fp16,pue,experiment_id,gpu_type,learning_rate,max_sequence_length,gradient_accumulation_steps,num_gpus,dataset_config,model_parameters
t5-small,imdb,50000,1,64,TRUE,1.1,7707ff5b-e391-404c-a180-f9482a14f61a,TPU v2-8,2.00E-05,256,1,1,,60000000
t5-small,imdb,50000,1,64,TRUE,1.1,e0dfbe3f-36d0-43e6-9fca-5fecf124a493,TPU v2-8,2.00E-05,512,1,1,,60000000
t5-small,imdb,100000,1,32,TRUE,1.1,5e39d2c5-37e7-4e0e-ba1d-e7a9b16226bf,TPU v2-8,2.00E-05,256,1,1,,60000000
t5-small,imdb,100000,1,32,TRUE,1.1,dc07f96c-25ce-4b0a-be95-d8175a17452c,TPU v2-8,2.00E-05,512,1,1,,60000000
t5-small,imdb,100000,1,64,TRUE,1.1,cc55765a-709e-4753-93eb-4891994c458b,TPU v2-8,2.00E-05,256,1,1,,60000000
t5-small,imdb,100000,1,64,TRUE,1.1,c6eed572-87e4-4405-ab06-c6762be55a9b,TPU v2-8,2.00E-05,512,1,1,,60000000
t5-small,imdb,50000,1,32,TRUE,1.1,45e536a8-d7fb-4f87-a4a9-b6d092787c0f,TPU v2-8,5.00E-05,256,1,1,,60000000
t5-small,imdb,50000,1,32,TRUE,1.1,740fd23f-0ca0-4157-a6c1-dbc9fd53f6de,TPU v2-8,3.00E-05,256,1,1,,60000000
t5-small,imdb,50000,1,32,TRUE,1.1,4941767a-1967-4f36-b577-063ff9777bca,TPU v2-8,1.00E-05,256,1,1,,60000000
t5-small,imdb,50000,1,32,TRUE,1.1,919f7833-0c8e-4a12-a060-32ffb73416f7,TPU v2-8,5.00E-05,512,1,1,,60000000
t5-small,imdb,50000,1,32,TRUE,1.1,4c2de0f1-b05e-479a-b303-2a5bf649d206,TPU v2-8,3.00E-05,512,1,1,,60000000
t5-small,imdb,50000,1,32,TRUE,1.1,8b746ec1-8874-4d18-b30c-9a5d75920a1b,TPU v2-8,1.00E-05,512,1,1,,60000000
t5-small,imdb,50000,1,64,TRUE,1.1,61ffe289-fc7c-425d-839b-805877cd4248,TPU v2-8,5.00E-05,256,1,1,,60000000
t5-small,imdb,50000,1,64,TRUE,1.1,d506f5fc-5e75-4101-ad6c-cdf582559dc7,TPU v2-8,3.00E-05,256,1,1,,60000000
t5-small,imdb,50000,1,64,TRUE,1.1,5a2f23fc-a8b3-425c-9197-feae8b2a1526,TPU v2-8,1.00E-05,256,1,1,,60000000
t5-small,imdb,50000,1,64,TRUE,1.1,fafc1020-6f1c-4463-950b-e96ec03e26af,TPU v2-8,5.00E-05,512,1,1,,60000000
t5-small,imdb,50000,1,64,TRUE,1.1,7927f92d-94cd-4d8a-88ca-6fc88ecbd9e9,TPU v2-8,3.00E-05,512,1,1,,60000000
t5-small,imdb,50000,1,64,TRUE,1.1,f7645af3-33b3-44d1-97f1-252f63879287,TPU v2-8,1.00E-05,512,1,1,,60000000
t5-small,imdb,100000,1,32,TRUE,1.1,b74d83c4-2d60-47da-a3d8-e8f267b26e23,TPU v2-8,5.00E-05,256,1,1,,60000000
t5-small,imdb,100000,1,32,TRUE,1.1,dc1cfb99-ee9e-49aa-9bc7-eb59af9e6dd9,TPU v2-8,3.00E-05,256,1,1,,60000000
t5-small,imdb,100000,1,32,TRUE,1.1,4eca5490-257c-4815-a498-6c4fc1bc46d1,TPU v2-8,1.00E-05,256,1,1,,60000000
t5-small,imdb,100000,1,32,TRUE,1.1,d8c2f11f-d5a5-450e-806c-5682e7501fee,TPU v2-8,5.00E-05,512,1,1,,60000000
t5-small,imdb,100000,1,32,TRUE,1.1,af058b81-43a5-4b6b-9efc-f6ff09d62180,TPU v2-8,3.00E-05,512,1,1,,60000000
t5-small,imdb,100000,1,32,TRUE,1.1,c47fb6b9-2491-4152-8890-c7cc502d3d08,TPU v2-8,1.00E-05,512,1,1,,60000000
t5-small,imdb,100000,1,64,TRUE,1.1,2a7a1496-3166-4071-be2b-2741f914333a,TPU v2-8,5.00E-05,256,1,1,,60000000
t5-small,imdb,100000,1,64,TRUE,1.1,ed5d18dc-ce4c-44f8-a64a-41ba72740e54,TPU v2-8,3.00E-05,256,1,1,,60000000
t5-small,imdb,100000,1,64,TRUE,1.1,6018e296-cc77-4ad9-b53b-713f99ff6b18,TPU v2-8,1.00E-05,256,1,1,,60000000
t5-small,imdb,100000,1,64,TRUE,1.1,5bc5fbef-2529-4380-998a-fc752b60445b,TPU v2-8,5.00E-05,512,1,1,,60000000
t5-small,imdb,100000,1,64,TRUE,1.1,68cc26af-d912-4481-94cb-5dcc7bcd6294,TPU v2-8,3.00E-05,512,1,1,,60000000
t5-small,imdb,100000,1,64,TRUE,1.1,8099a1d7-683b-4c99-b2f1-fdef0ff5687f,TPU v2-8,1.00E-05,512,1,1,,60000000
distilbert-base-uncased,imdb,5000,1,8,TRUE,1.58,f0112ece-bbd7-4cd3-a26a-69b38e254845,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,imdb,5000,1,16,TRUE,1.58,4275fd13-cc4c-4e41-a309-334b6c61d88a,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,imdb,5000,1,32,TRUE,1.58,72c505c7-e6b2-432f-823f-32c7dcc641af,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,imdb,15000,1,8,TRUE,1.58,c3a750d8-a00c-4029-8222-148154426712,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,imdb,15000,1,16,TRUE,1.58,217b0f84-aeeb-40ed-8aeb-8c3b060edcf0,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,imdb,15000,1,32,TRUE,1.58,e3e7a135-4887-4043-9011-09a0a3f1f1a9,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,imdb,25000,1,8,TRUE,1.58,5c444f06-e3cf-4e1a-9aee-f3a3c1ff0c4e,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,imdb,25000,1,16,TRUE,1.58,6a5b641e-a5d7-41e6-b519-226e40036e59,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,imdb,25000,1,32,TRUE,1.58,9ba93420-24dd-4fe0-88b6-a6b9484dc72b,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,sst2,67349,1,8,TRUE,1.58,e09c7f04-ddb0-473c-8f58-2cee85744549,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,sst2,67349,1,16,TRUE,1.58,791bd20e-d11b-4381-9994-51ce68177fdf,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,sst2,67349,1,32,TRUE,1.58,e4f07e94-05fb-442b-93ff-458e754a45c5,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,sst2,67349,1,8,TRUE,1.58,76a97796-c05d-4b8e-b7ff-25dab32158ec,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,sst2,67349,1,16,TRUE,1.58,168a262e-6b49-4904-b0b5-1b28bfa789f9,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,sst2,67349,1,32,TRUE,1.58,35984209-3a46-4aed-ab23-468b2b797e57,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,sst2,67349,1,8,TRUE,1.58,d413f909-2039-4611-9224-ebca8a63daac,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,sst2,67349,1,16,TRUE,1.58,16eef7fc-b909-4ef8-b0bb-10d3a78eea28,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,sst2,67349,1,32,TRUE,1.58,0e035675-ba1c-4432-b8d3-4aea6e8c3c5d,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,66000000
bert-base-uncased,imdb,5000,1,8,TRUE,1.58,9233b946-bbf5-4077-9787-2fe93619e021,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,5000,1,16,TRUE,1.58,4c585f19-7cb9-4e58-9591-2672b6bb4183,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,5000,1,32,TRUE,1.58,66dda423-0234-498d-9dd2-7bfbd50b11d4,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,15000,1,8,TRUE,1.58,26c836a2-cf4d-4a5c-b84c-87cf8c22e7b3,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,15000,1,16,TRUE,1.58,ddb86927-58e3-416f-a270-b1bf5c694638,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,15000,1,32,TRUE,1.58,1c16b2dc-5b6e-4ef1-b354-972b0cb54b85,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,25000,1,8,TRUE,1.58,dd5f46ac-3e0c-4eed-b738-cf45bb08c95d,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,25000,1,16,TRUE,1.58,b72f8661-f5a6-418e-bec4-15c3319856c6,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,25000,1,32,TRUE,1.58,3f12b32c-0fb2-4921-bd93-830a4706b157,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,30000,1,16,TRUE,1.58,c6e49a7f-1fa6-402e-9971-3e2e39bc71af,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,30000,1,16,TRUE,1.58,d355920a-c2a4-4010-9258-938fef497a34,Tesla P100-PCIE-16GB,2.00E-05,512,2,1,,110000000
bert-base-uncased,imdb,30000,1,16,TRUE,1.58,b431f17d-5d27-4bbb-b5eb-e49344d2b330,Tesla P100-PCIE-16GB,2.00E-05,512,4,1,,110000000
bert-base-uncased,imdb,30000,1,32,TRUE,1.58,7c5edb9a-ffbe-48ec-8fa8-61774eb1a9f0,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,30000,1,32,TRUE,1.58,c8ca1438-265f-41b8-a183-45fb4fc795e9,Tesla P100-PCIE-16GB,2.00E-05,512,2,1,,110000000
bert-base-uncased,imdb,30000,1,32,TRUE,1.58,6c9d7583-18db-4142-9fc7-135c59fa152b,Tesla P100-PCIE-16GB,2.00E-05,512,4,1,,110000000
roberta-base,imdb,30000,1,16,TRUE,1.58,16d9f2ab-57f1-4c73-9798-49b75c942d57,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,125000000
roberta-base,imdb,30000,1,16,TRUE,1.58,487fe678-32bc-435d-a430-85835d644c2d,Tesla P100-PCIE-16GB,2.00E-05,512,2,1,,125000000
roberta-base,imdb,30000,1,16,TRUE,1.58,a32029e3-bd90-4453-a21e-7cb1ecb406d8,Tesla P100-PCIE-16GB,2.00E-05,512,4,1,,125000000
roberta-base,imdb,30000,1,32,TRUE,1.58,2d244fdf-60bf-4920-9ded-2bb494d9ae01,Tesla P100-PCIE-16GB,2.00E-05,512,1,1,,125000000
